AS7265x Spectral Triad Example
A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.33
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,26.23,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,29.00
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,26.23,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.33
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,26.23,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,26.23,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,29.00
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,18.54,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,26.23,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,40.23,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,26.23,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,11.58,25.38,40.23,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,11.58,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,11.58,26.23,39.39,10.51,29.00
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,11.58,26.23,39.39,11.67,29.00
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,11.58,26.23,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,18.54,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,11.58,26.23,39.39,11.67,28.67
4.90,12.81,14.25,9.89,10.51,18.54,14.06,11.93,4.07,3.98,7.11,1.98,20.24,5.83,11.58,26.23,40.23,11.67,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,11.58,26.23,40.23,11.67,28.67
4.90,12.81,14.25,9.89,10.51,17.85,14.06,11.93,4.07,3.98,7.11,1.98,20.24,5.83,11.58,26.23,40.23,11.67,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,20.24,5.83,11.58,26.23,40.23,11.67,28.67
4.90,12.81,14.25,9.89,10.51,18.54,13.52,11.93,4.07,3.98,7.11,1.98,20.24,5.83,11.58,26.23,40.23,11.67,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,11.93,4.07,3.98,7.11,1.98,20.24,5.83,11.58,27.07,40.23,11.67,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,11.93,4.07,3.98,7.11,1.98,20.24,5.83,11.58,27.07,40.23,11.67,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,11.93,4.07,3.98,7.11,1.98,20.24,5.83,12.48,27.07,40.23,11.67,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,11.93,4.07,4.42,7.11,1.98,20.24,5.83,12.48,27.07,40.23,11.67,29.00
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.11,1.98,20.24,5.83,12.48,27.07,40.23,11.67,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,1.98,20.24,5.83,12.48,27.07,41.06,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,1.98,20.24,5.83,12.48,27.07,40.23,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,1.98,20.24,5.83,12.48,27.07,41.06,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,12.48,27.07,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,12.48,27.07,41.06,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,12.48,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,12.48,27.07,41.06,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,12.48,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.97,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,29.00
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,29.00
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,29.00
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.42,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,10.51,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,5.83,13.37,27.92,41.06,12.84,29.00
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,29.00
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,12.84,29.00
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,14.01,29.00
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.60,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.90,14.01,28.67
5.88,12.81,14.25,9.89,11.26,18.54,14.06,12.45,4.52,4.86,7.76,2.97,20.24,6.81,13.37,27.92,41.06,14.01,29.00
